"","3mo_rep1","3mo_rep2","3mo_rep3","3mo_rep4","6mo_rep1","6mo_rep2","6mo_rep3","6mo_rep4","18mo_rep1","18mo_rep2","18mo_rep3","18mo_rep4"
"3mo_rep1",0,80.7264236385994,80.663117778052,108.420644330313,179.382260007385,147.926596351868,139.936516391144,175.400378161389,145.774056497271,160.502704299123,161.273142685035,135.85175010613
"3mo_rep2",80.7264236385994,0,75.2268627442596,88.8046104887297,194.437497334912,164.182119359995,153.306458423926,190.065249772659,162.269742617603,174.564110891195,171.880594833452,149.320573131424
"3mo_rep3",80.663117778052,75.2268627442596,0,95.3466739249884,188.469418311812,158.893428170017,151.074111427309,185.894750749125,159.411445501482,168.381968208376,169.11032604839,144.535663878323
"3mo_rep4",108.420644330313,88.8046104887297,95.3466739249884,0,225.915085596485,197.192308048349,186.283182294376,220.711422572807,195.269206482918,205.702164788957,202.383051375673,181.123154829185
"6mo_rep1",179.382260007385,194.437497334912,188.469418311812,225.915085596485,0,69.5905381209867,89.5135562785723,59.7036863307239,94.9457979522597,94.7249603100106,78.3346716886887,117.053273449946
"6mo_rep2",147.926596351868,164.182119359995,158.893428170017,197.192308048349,69.5905381209867,0,58.2020202734188,66.4513413142821,71.091589106884,79.877757970808,68.1162388688556,91.3777476713778
"6mo_rep3",139.936516391144,153.306458423926,151.074111427309,186.283182294376,89.5135562785723,58.2020202734188,0,75.9728945857797,69.3322628957223,78.7756869181395,69.3855953461026,82.5033830308628
"6mo_rep4",175.400378161389,190.065249772659,185.894750749125,220.711422572807,59.7036863307239,66.4513413142821,75.9728945857797,0,87.947670733454,88.2361515970527,69.6459070032424,108.793476014156
"18mo_rep1",145.774056497271,162.269742617603,159.411445501482,195.269206482918,94.9457979522597,71.091589106884,69.3322628957223,87.947670733454,0,77.7642391143611,70.329108216519,82.1934619490261
"18mo_rep2",160.502704299123,174.564110891195,168.381968208376,205.702164788957,94.7249603100106,79.877757970808,78.7756869181395,88.2361515970527,77.7642391143611,0,71.296018552156,78.1381723505516
"18mo_rep3",161.273142685035,171.880594833452,169.11032604839,202.383051375673,78.3346716886887,68.1162388688556,69.3855953461026,69.6459070032424,70.329108216519,71.296018552156,0,88.3434888048502
"18mo_rep4",135.85175010613,149.320573131424,144.535663878323,181.123154829185,117.053273449946,91.3777476713778,82.5033830308628,108.793476014156,82.1934619490261,78.1381723505516,88.3434888048502,0
