"run_accession","PC1","PC2","plot_label","age_group"
"SRR13618140",-218.703957236646,11.1786351129784,"3mo_rep1","3_month"
"SRR13618141",-247.632545882709,-19.2278584927654,"3mo_rep2","3_month"
"SRR13618144",-236.617372355334,-29.9636934168448,"3mo_rep3","3_month"
"SRR13618145",-342.671537699992,-26.0228602837361,"3mo_rep4","3_month"
"SRR13618146",194.212725883825,-81.1102286233542,"6mo_rep1","6_month"
"SRR13618148",147.623329002642,-49.9271363085711,"6mo_rep2","6_month"
"SRR13618147",115.892044049233,-25.6592646346686,"6mo_rep3","6_month"
"SRR13618149",187.92659824705,-56.8460969902177,"6mo_rep4","6_month"
"SRR13618150",95.0382952002913,40.9462362413415,"18mo_rep1","18_month"
"SRR13618142",115.544257262989,84.2948764070279,"18mo_rep2","18_month"
"SRR13618151",148.791122784032,-12.5691299944229,"18mo_rep3","18_month"
"SRR13618143",40.597040744617,164.906520983234,"18mo_rep4","18_month"
